Plot,Clean Plot,True Genre,Predicted Genre
"Two girls escape from an open borstal. Annetta (Chrissie Cotterill) wants to visit her baby daughter who is being raised in a convent. Carol (Amanda York) plans to be recaptured and sent to the closed borstal where her girlfriend Doreen is being held. Carol's plan works, but she is devastated to find that Doreen has a new girlfriend. Doreen and the girlfriend taunt Carol. Annetta is arrested at the convent and sent to the same closed borstal. She assumes Carol grassed her up and proceeds to plan her revenge. Inmate Eddie professes her love for Carol and offers protection, so Carol begins a relationship with her. Annetta's constant bullying attempts keep her in solitary confinement. When Eddie is released Carol loses her protection and Annetta plans another attack.",girls escape open borstal annetta chrissie cotterill wants visit baby daughter raised convent carol amanda york plans recaptured sent closed borstal girlfriend doreen held carol plan works devastated find doreen girlfriend doreen girlfriend taunt carol annetta arrested convent sent same closed borstal assumes carol grassed proceeds plan revenge inmate eddie professes love carol offers protection carol relationship annetta constant bullying attempts keep solitary confinement eddie released carol loses protection annetta plans attack,drama,crime
An ex army officer is forced to resort to a life of crime.[3],ex army officer forced resort life crime,drama,action
"Julie Barnes (Claire Danes), Pete Cochran (Giovanni Ribisi) and Lincoln Hayes (Omar Epps) are three minor delinquents who choose to become undercover cops in place of serving their jail terms. When their superior Capt. Adam Greer (Dennis Farina) is murdered, the trio set out to find the real culprits.",julie barnes claire danes pete cochran giovanni ribisi lincoln hayes omar epps three minor delinquents choose become undercover cops place serving jail terms superior capt adam greer dennis farina murdered trio set find real culprits,action,crime
"A Greek fisherman named Demetrios and his father rescue Princess Antillia from a shipwreck without knowing that she is from the technologically advanced civilization of Atlantis. After rescuing the princess, Demetrios must travel beyond the Pillars of Hercules to take her home. After they are picked up at sea near Atlantis by a giant fish-like submarine boat, Demetrios, expecting to receive a reward for returning Antillia, is instead enslaved and forced to work in the crater of the volcano that dominates the center of the continent. King Cronus is being manipulated by an ambitious usurper, Zaren, collaborating with the court sorcerer, Sonoy the Astrologer, who wishes to use the resources of Atlantis in order to conquer the known world. From the continent's volcano, the slaves of Atlantis have been mining unique power crystals which absorb the sun's rays and can then be used to fire heat ray beams. The crystals were originally used to produce light and heat, but due to its arrogance, corruption, and moral laxity, Atlantis has made the crystals into a deadly heat ray weapon, and has now become an abomination before Heaven. Taken to the House of Fear, where a mad scientist turns slaves into beasts, Demetrios is saved by being given the chance to undergo the 'ordeal of fire and water'. He fights with a giant ogre in a pit of burning coals. Demetrios outmaneuvers his clumsy opponent, setting fire to the ogre's hair, the fight contrasting with the uproarious laughter coming from the massive crowd in the coliseum, cheering on the spectacle. Later, after killing the ogre in a rising pool of water, Demetrios is declared a free citizen of Atlantis. Impending doom hangs heavy in the air of Atlantis. The birds, animals, and even the insects are fleeing what appears to be the coming destruction of the continent. With the help of a kindly high priest named Azar (Edward Platt), who explains these signs of apocalypse to him, Demetrios is later able to rescue Princess Antillia after he has helped the slaves of Atlantis to escape the coming destruction. The skies darken, the ground begins to shake, and the destruction of Atlantis begins, just as Zaren's giant crystal ray weapon is fired by him on the fleeing citizens, as he tries to destroy Demetrios and Princess Antillia struggling to escape through the fleeing multitude. The volcano undergoes a cataclysmic eruption. As the continent proceeds to tear itself apart, the people of Atlantis panic, striving without success to escape their doom. Azar and Zaren wrestle after Azar is able to stab him with Zaren's own knife. The large crystal ray weapon swings back and forth, out of control, firing at random, until it suddenly incinerates them both. As lightning flashes and thunder roars, the entire continent is sinking just before it begins to rise up quickly. Just as quickly the sea bottom collapses, and Atlantis plunges beneath the waves. The large crystal atop the capital's large pyramid, the main power source for the entire continent, short-circuits, and a massive explosion follows. The skies suddenly clear. Various groups of survivors, including Demetrios and Antillia, flee to Greece and other parts of the world, where they are absorbed into other cultures, and the Legend of Lost Atlantis is spread through the many peoples and nations that follow through the centuries.",greek fisherman named demetrios rescue princess antillia shipwreck without knowing technologically advanced civilization atlantis rescuing princess demetrios must travel beyond pillars hercules home picked sea near atlantis giant fish like submarine boat demetrios expecting receive reward returning antillia instead enslaved forced work crater volcano dominates center continent king cronus manipulated ambitious usurper zaren collaborating court sorcerer sonoy astrologer wishes use resources atlantis order conquer known world continent volcano slaves atlantis mining unique power crystals absorb sun rays used fire heat ray beams crystals were originally used produce light heat due arrogance corruption moral laxity atlantis made crystals deadly heat ray weapon become abomination heaven taken fear mad scientist turns slaves beasts demetrios saved given chance undergo ordeal fire water fights giant ogre pit burning coals demetrios outmaneuvers clumsy opponent setting fire ogre hair fight contrasting uproarious laughter coming massive crowd coliseum cheering spectacle killing ogre rising pool water demetrios declared free citizen atlantis impending doom hangs heavy air atlantis birds animals even insects fleeing appears coming destruction continent kindly high priest named azar edward platt explains these signs apocalypse demetrios able rescue princess antillia helped slaves atlantis escape coming destruction skies darken ground shake destruction atlantis zaren giant crystal ray weapon fired fleeing citizens destroy demetrios princess antillia struggling escape fleeing multitude volcano undergoes cataclysmic eruption continent proceeds tear itself apart people atlantis panic striving without success escape doom azar zaren wrestle azar able stab zaren knife large crystal ray weapon swings forth control firing random until suddenly incinerates lightning flashes thunder roars entire continent sinking rise quickly quickly sea bottom collapses atlantis plunges beneath waves large crystal atop capital large pyramid main power source entire continent short circuits massive explosion follows skies suddenly clear various groups survivors including demetrios antillia flee greece parts world absorbed cultures legend lost atlantis spread many peoples nations follow centuries,sci-fi,animation
"Homicide detectives Mike (Sam Worthington) and Brian (Jeffrey Dean Morgan) investigate the murder of a girl and the disappearance of a young woman. Meanwhile, Ann (Chloë Grace Moretz), a neglected local girl whose mother Lucie (Sheryl Lee) is a drug addict, goes missing.",homicide detectives mike sam worthington brian jeffrey dean morgan investigate murder girl disappearance young woman ann chlo grace moretz neglected local girl whose mother lucie sheryl lee drug addict missing,crime,drama
"Although made in 1943-44, the film is set in peacetime Britain, a few years after the end of World War II. Peter Pyke, the son of a millionaire hotel owner, had been a RAF pilot during the war but, much to the frustration of his hard-working father, he doesn't want to work for a living and instead wastes his time away, living in his father's hotel (aptly named Eisenhower Hotel after Dwight D. Eisenhower who lead the Allied invasion in 1944). So when Peter finds a club founded by people, mainly White Russian émigrés, who refuse to be of any use to society, he immediately joins them.",although made film set peacetime britain few years end world war ii peter pyke son millionaire hotel owner raf pilot war much frustration hard working want work living instead wastes time living hotel aptly named eisenhower hotel dwight d eisenhower lead allied invasion peter club founded people mainly white russian migr s refuse any use society immediately joins,comedy,drama
"On March 21, 2023, the media credits the annual purge, a 12-hour period wherein all crimes are legal without authorities intervening, as an economic success. Everywhere, people either prepare to barricade themselves indoors or commit acts of violence. The nation's impoverished population is no longer seen as people, but as living garbage, whom the wealthy denounce as only living to serve their needs. However, before the sixth annual purge begins, a successful anti-purge resistance group led by Carmelo Johns and his partner, the Stranger from the first film - revealed as Dwayne - hijack government feeds to denounce the New Founding Fathers and their actions. In Los Angeles, working-class waitress Eva Sanchez returns home to her 17 year old daughter Cali and terminally ill father Rico, who also despises the New Founding Fathers. Rico slips out to a waiting limousine, leaving a note for his family revealing that he has sold himself as a purge offering in exchange for $100,000 to be paid to Eva and Cali after the purge. Married couple Shane and Liz visit a grocery store, only to be ambushed by a masked gang of bikers. As they drive away to avoid them, their car breaks down, as the biker gang had cut their fuel line. Meanwhile, an off-duty Los Angeles Police Department sergeant, Leo Barnes, plans to join the purge to avenge the death of his son against the advice of his ex-wife, and goes out to the streets heavily armed, posing as a vigilante. As Shane and Liz try to find safer hiding places, the purge commences. Eva and Cali are attacked by their lustful superintendent Diego, but he is gunned down by a paramilitary platoon, which captures the women to offer them to their leader Big Daddy for his own personal purge. The sergeant rescues them after killing the troops and wounding Big Daddy. They find Shane and Liz hiding in the sergeant's car. The group flees just as Big Daddy fires at them, damaging the car. As the sergeant's car breaks down, the group flees on foot to reach the home of Eva's co-worker Tanya, and borrow her car. As they navigate the hostile streets, they find evidence that the antipurge group has been gaining the upper hand against the purgers. After freeing Shane from a trap and taking guns from an abandoned van, they head to the subways. A pyrotechnic purging gang invades the subways and sets hiding people on fire, causing chaos. Shane is wounded, but the group manages to escape. After running for their lives, Eva unknowingly signals a traffic camera to identify them to the NFFA troops who pick up the location of Tanya's apartment building. The group reaches Tanya's house, but learns no car is there. Tanya's family takes them in, offering dinner and medicine. However, Tanya's sister Lorraine proceeds to murder her sister for sleeping with her husband. The group leaves the family to their fate, only to be captured by the masked gang, which takes them to a theater where upper-class purgers bid them for human hunting. In the purging arena, the sergeant fights back, killing the hunters. The host purger calls for backup and security forces kill Shane. The antipurge group invades the arena and kills more of the purging team. Liz chooses to join the antipurge group to avenge Shane's death. The sergeant hijacks the host purger's car and threatens her before leaving. The sergeant, Eva, and Cali drive up to a suburban neighborhood, and stop at the home of Warren Grass. He reveals that Grass killed his son while driving under the influence, but was acquitted. He ventures into the house, threatening Warren and his wife. The next scene shows the sergeant exiting the house covered in blood, only to be shot by Big Daddy, who reveals that the New Founding Fathers have secretly dispatched death squads to increase the body count because the purge eliminates too few of the lower class, possibly due to purgers murdering those they have personal grudges against and not just random people. Just as he is about to kill the sergeant, Warren appears and kills Big Daddy with his .45, revealing that the sergeant chose to spare him. As Big Daddy's death squad appears, sirens blare to signal the end of the purge. Warren drives Eva, Cali, and the sergeant to the hospital as news and police helicopters fly over the city.",march media credits annual purge hour period wherein crimes legal without authorities intervening economic success everywhere people either prepare barricade themselves indoors or commit acts violence nation impoverished population longer seen people living garbage whom wealthy denounce living serve needs sixth annual purge successful anti purge resistance group led carmelo johns partner stranger film revealed dwayne hijack government feeds denounce founding fathers actions los angeles working class waitress eva sanchez returns home year old daughter cali terminally ill rico despises founding fathers rico slips waiting limousine leaving note family revealing sold purge offering exchange paid eva cali purge married couple shane liz visit grocery store ambushed masked gang bikers drive avoid car breaks biker gang cut fuel line duty los angeles police department sergeant leo barnes plans join purge avenge death son against advice ex wife streets heavily armed posing vigilante shane liz try find safer hiding places purge commences eva cali attacked lustful superintendent diego gunned paramilitary platoon captures women offer leader big daddy personal purge sergeant rescues killing troops wounding big daddy find shane liz hiding sergeant car group flees big daddy fires damaging car sergeant car breaks group flees foot reach home eva co worker tanya borrow car navigate hostile streets find evidence antipurge group gaining upper hand against purgers freeing shane trap taking guns abandoned van head subways pyrotechnic purging gang invades subways sets hiding people fire causing chaos shane wounded group manages escape running lives eva unknowingly signals traffic camera identify nffa troops pick location tanya apartment building group reaches tanya learns car tanya family offering dinner medicine tanya sister lorraine proceeds murder sister sleeping husband group leaves family fate captured masked gang theater upper class purgers bid human hunting purging arena sergeant fights killing hunters host purger calls backup security forces kill shane antipurge group invades arena kills purging team liz chooses join antipurge group avenge shane death sergeant hijacks host purger car threatens leaving sergeant eva cali drive suburban neighborhood stop home warren grass reveals grass killed son driving under influence acquitted ventures threatening warren wife scene shows sergeant exiting covered blood shot big daddy reveals founding fathers secretly dispatched death squads increase body count purge eliminates too few lower class possibly due purgers murdering those personal grudges against random people kill sergeant warren appears kills big daddy revealing sergeant chose spare big daddy death squad appears sirens blare signal end purge warren drives eva cali sergeant hospital news police helicopters fly city,horror,action
"A new gas formula that can be used as a deadly weapon invented by a pioneering British scientist draws the interest of a shadowy peace movement, which masks a more sinister intent.[2]",gas formula used deadly weapon invented pioneering british scientist draws interest shadowy peace movement masks sinister intent,crime,horror
"This is the story of Madhabpur. The incident is just like that of Singur. The corrupt M.L.A of Madhabpur, Shanti Ranja Burman is a crook who forcefully confiscate the lands and properties of the downtrodden mass in the name of industrialization and development. He and his sidekick Raghab (Rajesh) targets Chandra Roy (Rimjhim) and her grandmother (Whom every one calls Thakuma) for engulfing their land. Enter honest S.P Mr. DIbakar Choudhury and his brother Dev. Dev falls in love with Chandra. The two take oath to uproot the corrupt Shanti Ranjan and Raghab alongside the villainous inspector Binay Bagchi. Dev, Dibakar and Chandra find able allies in sub-inspector Pundarikakshya Das (Subhashish) and Joy Banerjee, a real estate dealer turns revolutionary. Together combat the adverse forces and finally at a meeting all hell breaks loose. Shanti Ranjan and S.P Dibakar died in encounter. Peace is restored.",story madhabpur incident like singur corrupt m l madhabpur shanti ranja burman crook forcefully confiscate lands properties downtrodden mass name industrialization development sidekick raghab rajesh targets chandra roy rimjhim grandmother whom every calls thakuma engulfing land enter honest s p mr dibakar choudhury brother dev dev falls love chandra oath uproot corrupt shanti ranjan raghab alongside villainous inspector binay bagchi dev dibakar chandra find able allies sub inspector pundarikakshya das subhashish joy banerjee real estate dealer turns revolutionary together combat adverse forces finally meeting hell breaks loose shanti ranjan s p dibakar died encounter peace restored,romance,action
"A title sequence prologue details Britain's accidental acquisition of the island Gaillardia (located on the 33rd parallel south) during the seventeenth century, the feud between two scions of its royal house and Britain's granting the island self-rule in 1916. However, when independence was granted, the Foreign Office (F.O.) failed to recall its governor, who is still there forty years later. He writes a letter to the F.O. informing them of Russian moves to annex the island's mineral wealth. After some research to find out where exactly Gaillardia is, the F.O. put the matter in the hands of Carlton-Browne, head of the Department of Miscellaneous Territories. Brutally inept, he had only gotten the role due to the distinguished career of his father. He suggests sending out two British geologists under the cover of a British Council Morris dancing troupe putting on a show for the king of Gaillardia. At the show the king is assassinated and his young Oxford-educated son Loris flies out to succeed to the throne. On the flight, travelling incognito as 'Mr Jones', he talks to a beautiful young woman. Carlton-Browne is sent out to see to British interests under the new king, accompanied by his military attaché Colonel Bellingham of the Bays. Loris and his prime minister Amphibulos stall the British, hoping to start a bidding war between them and the Russians – Amphibulos hopes to get rich, but Loris hopes to modernise his country and benefit its people (Gaillardia's backward standard of living, limited funds and negligible military strength have all been made blindingly obvious at a State Parade held in Loris' honor). The two are then visited by Loris' uncle Grand Duke Alexis and the veiled Princess Ilyena, whom Alexis and his rebels are backing as the true claimant to the throne. To settle the struggle between Loris and Alexis, the British get the United Nations to partition the island (to save costs, this is accomplished by little more than painting a white line across the island with a cricket pitch marking trolley). Soon afterwards the British mineralogists arrive back at the F.O. to announce they have discovered rich cobalt deposits – on what is now Alexis' half of the island... Loris comes to Britain for talks but the F.O. refuses to meet him, instead negotiating with Alexis so Britain can seize the mineral wealth. Loris discovers this and also overhears Amphibulos giving Alexis his support and planning to overthrow Loris in favour of Ilyena. Disgusted, Loris leaves his hotel and meets Ilyena, who is attempting to avoid an unintelligent British suitor Carlton-Browne has set up for her. Loris recognises her as the young woman from the plane, but only discovers her true identity when they duck into a news cinema and see a newsreel of her arrival in Britain. Initially angry that she has hidden her identity from him, he soon falls in love with her and starts to discuss with her how to outwit both Amphibulos and Alexis. The F.O. receive news of a revolution in Gaillardia, withdraw their support for the partition and send Bellingham at the head of a party of parachutists to put down the revolution. After the parachutists mistakenly attack their own HQ, Bellingham and Carlton-Browne are captured and taken to see the leaders of the revolution – Loris and Ilyena, now engaged to be married. Loris pretends that Bellingham and Carlton-Browne are not in Gaillardia to intervene in the revolution but to give his congratulations on the engagement, which Carlton-Browne goes along with. Gaillardia is reunited, the Russians, British and Americans leave and Carlton-Browne is granted orders of chivalry by both Gaillardia and Britain for his services to world peace. The credits roll on a scene of a team of workmen painting out the white line.",title sequence prologue details britain accidental acquisition island gaillardia located rd parallel south seventeenth century feud scions royal britain granting island self rule independence granted foreign office f o failed recall governor forty years writes letter f o informing russian moves annex island mineral wealth research find exactly gaillardia f o put matter hands carlton browne head department miscellaneous territories brutally inept gotten role due distinguished career suggests sending british geologists under cover british council morris dancing troupe putting show king gaillardia show king assassinated young oxford educated son loris flies succeed throne flight travelling incognito mr jones talks beautiful young woman carlton browne sent see british interests under king accompanied military attach colonel bellingham bays loris prime minister amphibulos stall british hoping start bidding war russians amphibulos hopes rich loris hopes modernise country benefit people gaillardia backward standard living limited funds negligible military strength made blindingly obvious state parade held loris honor visited loris uncle grand duke alexis veiled princess ilyena whom alexis rebels backing true claimant throne settle struggle loris alexis british united nations partition island save costs accomplished little than painting white line across island cricket pitch marking trolley afterwards british mineralogists arrive f o announce discovered rich cobalt deposits alexis half island loris britain talks f o refuses meet instead negotiating alexis britain seize mineral wealth loris discovers overhears amphibulos giving alexis support planning overthrow loris favour ilyena disgusted loris leaves hotel meets ilyena attempting avoid unintelligent british suitor carlton browne set loris recognises young woman plane discovers true identity duck news cinema see newsreel arrival britain initially angry hidden identity falls love starts discuss how outwit amphibulos alexis f o receive news revolution gaillardia withdraw support partition send bellingham head party parachutists put revolution parachutists mistakenly attack hq bellingham carlton browne captured taken see leaders revolution loris ilyena engaged married loris pretends bellingham carlton browne gaillardia intervene revolution give congratulations engagement carlton browne along gaillardia reunited russians british americans leave carlton browne granted orders chivalry gaillardia britain services world peace credits roll scene team workmen painting white line,comedy,drama
